IP,Timestamp,Method,URL,Status,Bytes,Is_Anomaly,Anomaly_Score,Reasons
203.0.113.10,,2026-03-06 10:15:22+00:00,,NaN,0,false,NaN,200
203.0.113.10,,2026-03-06 10:15:25+00:00,,NaN,0,false,NaN,200
198.51.100.45,,2026-03-06 11:05:12+00:00,,NaN,0,false,NaN,200
198.51.100.45,,2026-03-06 11:05:40+00:00,,NaN,0,false,NaN,200
104.22.14.99,,2026-03-06 14:22:01+00:00,,NaN,0,false,NaN,200
45.33.22.11,,2026-03-06 02:14:05+00:00,,NaN,0,false,NaN,404
45.33.22.11,,2026-03-06 02:14:06+00:00,,NaN,0,false,NaN,403
45.33.22.11,,2026-03-06 02:14:07+00:00,,NaN,0,false,NaN,403
45.33.22.11,,2026-03-06 02:14:08+00:00,,NaN,0,false,NaN,500
203.0.113.10,,2026-03-06 15:10:00+00:00,,NaN,0,false,NaN,200
185.20.11.2,,2026-03-06 18:45:12+00:00,,NaN,0,false,NaN,400
185.20.11.2,,2026-03-06 18:45:13+00:00,,NaN,0,false,NaN,200
185.20.11.2,,2026-03-06 18:45:14+00:00,,NaN,0,false,NaN,404
8.8.8.8,,2026-03-06 19:00:00+00:00,,NaN,0,false,NaN,200
77.90.11.55,,2026-03-06 03:30:11+00:00,,NaN,0,false,NaN,403
77.90.11.55,,2026-03-06 03:30:12+00:00,,NaN,0,false,NaN,403
104.22.14.99,,2026-03-06 20:15:00+00:00,,NaN,0,false,NaN,200
198.51.100.45,,2026-03-06 21:01:10+00:00,,NaN,0,false,NaN,200
201.55.12.99,,2026-03-06 04:12:00+00:00,,NaN,0,false,NaN,404
